,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
154782,2019077746,40.5174,-80.1641,FIFTH AV,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
154784,2019077781,40.4182,-80.0492,POPLAR ST,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
154785,2019077782,40.3988,-80.0255,WEST LIBERTY AV,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
154828,2019077859,40.3187,-79.9219,CLAIRTON RD,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
154840,2019061325,40.5956,-80.194,BIG SEWICKLEY CREEK RD,1,1.0,3.0,1.0,2019,5,17.0,2019-6,True
154870,2019067870,40.5647,-79.9727,DUNCAN AV,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
154888,2019074179,40.4096,-80.0802,ANTHONY ST,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
154893,2019074257,40.3868,-80.0452,KENMONT AV,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
154903,2019074407,40.5745,-79.822,LITTLE DEER CREEK RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
154914,2019074519,40.5375,-80.0786,NORTH HILLS EX,1,1.0,3.0,1.0,2019,5,17.0,2019-7,True
154924,2019074623,40.5903,-80.1014,NICHOLSON RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
154931,2019074705,40.5723,-80.0237,MCKNIGHT RD,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
154957,2019067921,40.4429,-80.0696,INGRAM AV,1,1.0,3.0,1.0,2019,6,17.0,2019-7,True
154964,2019071000,40.4384,-80.0122,PENN LINCOLN PY,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
154989,2019081417,40.4249,-79.98,18TH ST,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
154993,2019074866,40.6232,-79.9232,TURNER RD,1,1.0,3.0,9.0,2019,1,17.0,2019-7,True
154994,2019074873,40.4541,-79.9496,ENFIELD ST,1,1.0,3.0,1.0,2019,7,17.0,2019-7,True
154998,2019081495,40.4408,-80.0933,STEUBENVILLE PK,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
155001,2019081579,40.361,-79.8759,WEBSTER AV,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155013,2019074977,40.3838,-79.8228,NAVY MARINE CORP WY,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
155030,2019061490,40.4597,-79.8427,BEULAH RD,1,1.0,3.0,1.0,2019,2,17.0,2019-6,True
155031,2019061532,40.4941,-79.8708,ALLEGHENY VALLEY EX,1,1.0,3.0,1.0,2019,2,17.0,2019-6,True
155043,2019071137,40.4551,-80.2208,CLIFF MINE RD,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155048,2019071147,40.6271,-80.0194,SALEM HOLLOW RD,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155063,2019071336,40.4948,-79.9318,NORTH CANAL ST,1,1.0,3.0,1.0,2019,7,17.0,2019-5,True
155078,2019075162,40.5409,-80.0788,MOUNT NEBO RD,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155091,2019085152,40.4654,-79.9567,PENN AV,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
155106,2019075289,40.471,-79.9608,43RD ST,1,1.0,3.0,1.0,2019,6,17.0,2019-7,True
155120,2019075457,40.6022,-79.9472,VERNON DR,1,1.0,3.0,1.0,2019,6,17.0,2019-7,True
155128,2019075526,40.3567,-79.9804,GLEN ELM DR,1,1.0,3.0,1.0,2019,6,17.0,2019-7,True
155132,2019075544,40.5503,-80.0191,MCINTYRE RD (T,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
155153,2019061612,40.4564,-79.7934,THOMPSON RUN RD,1,1.0,3.0,1.0,2019,2,17.0,2019-6,True
155154,2019061614,40.5348,-79.9904,HODIL RD,1,1.0,3.0,1.0,2019,6,17.0,2019-5,True
155155,2019061622,40.5036,-80.1359,CORAOPOLIS BL,1,1.0,3.0,1.0,2019,2,17.0,2019-6,True
155180,2019075781,40.4659,-79.8653,VERONA RD,1,1.0,3.0,1.0,2019,1,17.0,2019-7,True
155184,2019075819,40.4005,-79.9124,OAK ST,1,1.0,3.0,1.0,2019,7,17.0,2019-7,True
155185,2019075858,40.445,-80.0294,WEST CARSON ST,1,1.0,3.0,1.0,2019,1,17.0,2019-7,True
155224,2019081871,40.4633,-79.8026,JOSLYN DR,1,1.0,3.0,1.0,2019,4,17.0,2019-8,True
155242,2019078246,40.5257,-80.0697,CAMP HORNE RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
155275,2019082261,40.4298,-79.7147,WILLIAM PENN HW,1,1.0,3.0,1.0,2019,4,17.0,2019-8,True
155279,2019078463,40.5382,-79.833,FREEPORT RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
155286,2019082327,40.3104,-79.9374,CLAIRTON BL,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
155315,2019071640,40.2924,-79.9155,DICK CORP DR,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
155317,2019071645,40.4354,-79.9463,BLVD OF THE AL,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
155328,2019085406,40.4497,-80.0251,WESTERN AV,1,1.0,3.0,1.0,2019,7,17.0,2019-8,True
